ID,Name,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
186,Claudia Benter,74,female,3,free,little,moderate,5129,9,car,bad
187,Adalrik Kempter,68,male,0,free,little,moderate,1175,16,car,good
188,Erchanhardt Zens,20,male,2,own,moderate,little,674,12,radio/TV,bad
189,Gertrut Preyer,33,female,2,own,little,moderate,3244,18,furniture/equipment,good
190,Loritz Ploetz,54,male,3,own,rich,NA,4591,24,business,bad
191,Ardal Rau,34,male,1,free,moderate,moderate,3844,48,business,bad
192,Derrek Berl,36,male,2,own,little,moderate,3915,27,business,bad
193,Dirk Domer,29,male,2,rent,little,NA,2108,6,radio/TV,good
194,Berg Langreck,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad
195,Loranna Schaf,34,female,3,own,little,moderate,1501,9,education,bad
196,Gretchen Schillo,28,female,2,own,little,NA,1382,6,radio/TV,good
197,Blas Willenborg,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad
198,Peppi Mittelstaedt,36,male,2,free,NA,moderate,2760,24,car,good
199,Lorah Brahm,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad
200,Schaeffer Mosteller,52,male,2,own,quite rich,NA,936,9,education,good
201,Terrill Halleck,27,male,1,own,little,little,1168,12,car,good
202,Rodrik Unruh,26,male,2,own,little,NA,5117,27,business,good
203,Huldiberaht Harlacher,21,male,2,rent,little,little,902,12,education,bad
204,Erhardt Kreutzer,38,male,1,own,little,NA,1495,12,car,good
205,Wilber Endler,38,male,3,free,little,little,10623,30,car,good
206,Burhardt Nahm,43,male,2,own,little,NA,1935,12,furniture/equipment,good
207,Dutch Ruppe,26,male,2,own,little,moderate,1424,12,domestic appliances,good
208,Gary Aug,21,male,1,own,little,little,6568,24,business,good
209,Keifer Bittel,55,male,2,own,rich,NA,1413,12,car,good
210,Gary Konold,33,male,2,own,NA,NA,3074,9,radio/TV,good
211,Roderika Herfel,45,female,1,own,NA,NA,3835,36,radio/TV,good
212,Ame Forst,50,male,2,own,little,little,5293,27,business,bad
213,Emery Bihm,66,male,3,own,little,rich,1908,30,business,bad
214,Ahren Ruter,51,male,2,own,NA,NA,3342,36,radio/TV,good
215,Adalheid Birner,39,female,1,own,NA,moderate,932,6,education,good
216,Adalwolf Westerberg,31,male,2,own,little,little,3104,18,business,good
217,Diederich Greimann,23,male,2,own,little,rich,3913,36,radio/TV,good
218,Johann Kreikemeier,24,male,1,rent,little,little,3021,24,furniture/equipment,good
219,Winola Dueck,64,female,2,own,little,NA,1364,10,car,good
220,Sigfrid Husser,26,male,1,own,little,moderate,625,12,radio/TV,good
221,Marhilda Fisch,23,female,2,rent,NA,little,1200,12,education,good
222,Ekhard Buhr,30,male,2,own,little,NA,707,12,radio/TV,good
223,Emory Politz,32,male,2,own,NA,NA,2978,24,business,good
224,Maynard Strenge,30,male,2,own,little,NA,4657,15,car,good
225,Lambret Zink,27,male,2,own,little,NA,2613,36,repairs,good
226,Helmut Ballmann,27,male,2,own,rich,moderate,10961,48,radio/TV,bad
227,Amett Schweich,53,male,3,free,little,little,7865,12,furniture/equipment,bad
228,Alvaro Blumhardt,22,male,2,own,little,NA,1478,9,radio/TV,bad
229,Konni Maenner,22,male,2,free,little,little,3149,24,furniture/equipment,good
230,Mallory Saas,26,male,2,own,little,rich,4210,36,radio/TV,bad
231,Orbart Kehres,51,male,1,free,quite rich,NA,2507,9,car,good
232,Ramhart Kaus,35,male,2,own,moderate,NA,2141,12,radio/TV,good
233,Gerold Boehl,25,male,1,own,little,moderate,866,18,radio/TV,good
234,Alvaro Jenning,42,male,1,own,little,NA,1544,4,radio/TV,good
235,Dietz Lossing,30,male,3,own,little,little,1823,24,radio/TV,bad
236,Derry Krech,23,male,0,own,NA,moderate,14555,6,car,bad
237,Lambrecht Butt,61,male,1,rent,moderate,moderate,2767,21,business,bad
238,Emma Kutzke,35,female,2,own,little,NA,1291,12,radio/TV,good
239,Huldiberaht Plaster,39,male,2,own,little,little,2522,30,radio/TV,good
240,Winifrid Killian,29,female,2,own,NA,little,915,24,car,bad
241,Drugi Goller,51,male,2,own,little,NA,1595,6,radio/TV,good
242,Hewlett Mundhenk,24,male,2,free,little,little,4605,48,car,bad
243,Romilda Lossing,27,female,2,own,little,NA,1185,12,business,good
244,Gerde Unruh,35,female,1,own,quite rich,NA,3447,12,education,good
245,Jarmann Johann,25,male,2,own,little,NA,1258,24,business,good
246,Otis Heinrich,52,male,2,own,little,NA,717,12,radio/TV,good
247,Reggie Gruss,35,male,2,rent,moderate,NA,1204,6,car,good
248,Kulbart Winstel,26,male,2,own,little,rich,1925,24,furniture/equipment,good
249,Lurline Prock,22,female,2,rent,little,NA,433,18,radio/TV,bad
250,Jakobie Wissel,39,female,1,own,rich,little,666,6,car,good
251,Lorelei Bost,46,female,1,own,little,rich,2251,12,furniture/equipment,good
252,Monika Panke,24,female,2,own,little,moderate,2150,30,car,bad
253,Penn Glenz,35,male,2,own,moderate,NA,4151,24,furniture/equipment,good
254,Larenzo Katzenberg,24,male,2,own,NA,moderate,2030,9,furniture/equipment,good
255,Burlin Boegel,27,male,1,own,NA,moderate,7418,60,radio/TV,good
256,Ansell Lenger,35,male,1,own,little,NA,2684,24,radio/TV,good
257,Rowland Kaskel,29,male,2,free,little,little,2149,12,radio/TV,bad
258,Alicia Schaumberg,23,female,2,own,moderate,NA,3812,15,car,good
259,Otthilda Kultgen,57,female,1,own,moderate,NA,1154,11,radio/TV,good
260,Rickard Steinhagen,27,male,2,own,little,little,1657,12,furniture/equipment,good
261,Dagomar Ander,55,female,2,own,little,little,1603,24,radio/TV,good
262,Ellery Danner,36,male,3,free,little,little,5302,18,car,good
263,Rozmonda Zahn,57,female,1,free,little,NA,2748,12,education,good
264,Willamar Blacker,32,male,1,own,little,NA,1231,10,car,good
265,Roderik Karras,37,male,2,own,little,moderate,802,15,radio/TV,bad
266,Martell Bost,36,male,2,own,NA,NA,6304,36,business,good
267,Hedy Heber,38,female,2,own,little,NA,1533,24,radio/TV,good
268,Hoh Heger,45,male,3,own,little,little,8978,14,car,bad
269,Lindberg Mende,25,male,2,own,NA,NA,999,24,radio/TV,good
270,Reginald Weichel,32,male,2,own,NA,NA,2662,18,car,good
271,Leoda Rook,37,female,2,rent,quite rich,NA,1402,12,furniture/equipment,good
272,Nikolaus Heber,36,male,3,free,NA,moderate,12169,48,car,good
273,Audwin Adelsperger,28,male,2,own,little,moderate,3060,48,radio/TV,bad
274,Engel Heimann,34,male,1,own,little,little,11998,30,repairs,bad
275,Humberto Natter,32,male,2,own,little,NA,2697,9,radio/TV,good
276,Annemarie Schoeder,26,female,2,own,little,NA,2404,18,radio/TV,good
277,Hamoelet Moessner,49,male,1,own,NA,little,1262,12,furniture/equipment,good
278,Frieda Zink,32,female,2,own,little,NA,4611,6,furniture/equipment,bad
279,Emery Klitz,29,male,3,rent,moderate,NA,1901,24,radio/TV,good
280,Amald Kraak,23,male,2,rent,rich,NA,3368,15,car,good
281,Valdemar Schieferstein,50,male,2,own,little,NA,1574,12,furniture/equipment,good
282,Hohberht Weigold,49,male,1,own,NA,rich,1445,18,radio/TV,good
283,Waldo Meuer,63,male,2,own,NA,NA,1520,15,furniture/equipment,good
284,Luther Grieshop,37,male,2,own,moderate,moderate,3878,24,car,good
285,Aloisia Badertscher,35,female,1,own,little,little,10722,47,car,good
286,Luigi Hock,26,male,2,own,little,little,4788,48,car,good
287,Kulbart Lundt,31,male,3,free,moderate,moderate,7582,48,vacation/others,good
288,Gunnel Hargesheimer,49,female,2,own,little,moderate,1092,12,radio/TV,good
289,Marx Huck,48,male,2,own,little,little,1024,24,radio/TV,bad
290,Berdy Unruh,26,male,2,own,little,NA,1076,12,business,good
291,Jansen Seifer,28,male,3,rent,little,moderate,9398,36,car,bad
292,Katharina Stahlecker,44,female,3,free,little,little,6419,24,car,good
293,Rollie Greif,56,male,2,free,little,rich,4796,42,car,good
294,Raynard Klemm,46,male,3,own,NA,NA,7629,48,business,good
295,Marelda Gunder,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad
296,Luana Zeiss,20,female,2,rent,NA,NA,4675,12,car,good
297,Roderick Libbert,45,male,1,own,NA,NA,1287,10,car,good
298,Erich Helling,43,male,2,own,little,NA,2515,18,furniture/equipment,good
299,Sigwald Westerberg,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good
300,Emmeline Pahls,54,female,0,own,little,NA,672,6,car,good
301,Jakobe Brueggen,42,female,2,own,little,moderate,3804,36,radio/TV,bad
302,Fonzell Welge,37,male,1,own,NA,rich,1344,24,car,bad
303,Meinhard Zweber,49,male,2,own,little,little,1038,10,car,good
304,Erich Kosterman,44,male,2,free,quite rich,NA,10127,48,car,bad
305,Kurt Griesemer,33,male,2,own,rich,NA,1543,6,furniture/equipment,good
306,Otthilda Meger,24,female,1,rent,NA,NA,4811,30,car,good
307,Hildbrand Dueck,33,male,1,own,moderate,little,727,12,radio/TV,bad
308,Lorita Layman,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad
309,Windell Hecksel,22,male,1,rent,little,moderate,276,9,car,good
310,Audwin Butt,40,male,0,free,NA,moderate,5381,48,vacation/others,good
311,Bronson Bierlein,25,male,2,own,moderate,NA,5511,24,furniture/equipment,good
312,Halfrida Stengel,26,female,2,own,little,rich,3749,24,furniture/equipment,good
313,Brendis Prochnow,25,male,1,own,little,moderate,685,12,car,bad
314,Ingall Anacker,29,male,1,own,NA,rich,1494,4,car,good
315,Georg Knauf,31,male,2,own,little,little,2746,36,furniture/equipment,bad
316,Hanno Stegemoller,38,male,1,own,little,little,708,12,furniture/equipment,good
317,Hylda Kalthoff,48,female,1,own,NA,moderate,4351,24,furniture/equipment,good
318,Raymond Schiele,32,male,2,own,little,NA,701,12,education,good
319,Alyda Mellenthin,27,female,1,own,little,little,3643,15,furniture/equipment,good
320,Ingalls Leistikow,28,male,3,own,little,moderate,4249,30,car,bad
321,Ahren Heser,32,male,2,own,little,little,1938,24,radio/TV,bad
322,Leonard Knolle,34,male,3,free,little,little,2910,24,car,good
323,Hunfrid Tribe,28,male,2,own,rich,little,2659,18,furniture/equipment,good
324,Adela Lundt,36,female,2,own,little,NA,1028,18,car,good
325,Garan Klossner,39,male,1,own,little,little,3398,8,car,good
326,Roddy Leingang,49,male,2,rent,NA,NA,5801,12,furniture/equipment,good
327,Hedwig Kuchenbecker,34,female,2,own,rich,NA,1525,24,car,good
328,Eginhard Nofziger,31,male,2,own,little,rich,4473,36,radio/TV,good
329,Roald Benzschawel,28,male,2,own,little,moderate,1068,6,radio/TV,good
330,Derry Prock,75,male,3,free,little,little,6615,24,car,good
331,Halfrida Kuehnert,30,female,2,own,moderate,NA,1864,18,education,bad
332,Luise Offner,24,female,3,own,moderate,moderate,7408,60,car,bad
333,Aili Schmidlkofer,24,female,1,rent,moderate,NA,11590,48,car,bad
334,Hunfrid Specker,23,male,2,rent,little,little,4110,24,furniture/equipment,bad
335,Wilhelm Loeser,44,male,3,rent,little,little,3384,6,furniture/equipment,bad
336,Isole Zoll,23,female,1,own,little,moderate,2101,13,radio/TV,good
337,Rupetta Helling,24,female,2,rent,NA,little,1275,15,domestic appliances,bad
338,Renard Liebler,28,male,2,own,little,little,4169,24,furniture/equipment,good
339,Amo Knauf,31,male,1,own,little,moderate,1521,10,furniture/equipment,good
340,Hedwig Gebhard,24,female,2,free,little,moderate,5743,24,education,good
341,Wilhelmine Gasper,26,female,1,rent,little,little,3599,21,furniture/equipment,good
342,Gary Kaseman,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good
343,Gregor Loesche,33,male,3,own,little,moderate,4439,18,business,good
344,Gerhard Renninger,37,male,1,own,little,rich,3949,10,car,good
345,Rille Koeppel,43,female,1,own,little,NA,1459,15,radio/TV,good
346,Terrall Garb,23,male,2,own,little,moderate,882,13,radio/TV,good
347,Marlayna Kutz,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good
348,Norbert Stack,34,male,1,own,moderate,NA,1743,6,business,good
349,Herbert Kerscher,32,male,2,free,rich,moderate,1136,9,education,bad
350,Dagomar Brettschneider,23,female,2,rent,little,NA,1236,9,domestic appliances,good
351,Rudella Kutz,29,female,2,own,little,moderate,959,9,furniture/equipment,bad
352,Eginhardt Kleinpeter,38,male,3,own,NA,NA,3229,18,car,good
353,Conrad Diebold,28,male,2,rent,little,little,6199,12,radio/TV,bad
354,Wilbert Bursch,46,male,2,free,quite rich,NA,727,10,education,good
355,Bernardyn Huck,23,male,1,own,little,moderate,1246,24,car,bad
356,Tavin Wegener,49,male,2,own,NA,NA,2331,12,radio/TV,good
357,Edwyn Muhlbach,26,male,3,own,little,NA,4463,36,radio/TV,bad
358,Erhard Dohm,28,male,2,own,little,NA,776,12,radio/TV,good
359,Kuonrada Mosteller,23,female,2,rent,little,little,2406,30,furniture/equipment,bad
360,Emil Heiniger,61,male,2,free,NA,moderate,1239,18,education,good
361,Geron Senft,37,male,3,own,NA,rich,3399,12,radio/TV,good
362,Hertha Wambold,36,female,2,own,little,rich,2247,12,car,good
363,Hartmann Appelhans,21,male,2,rent,little,NA,1766,6,furniture/equipment,good
364,Raymundo Fuge,25,male,0,own,little,little,2473,18,furniture/equipment,bad
365,Arnt Schieferstein,36,male,2,own,little,NA,1542,12,business,good
366,Hann Dull,27,male,2,own,little,NA,3850,18,car,good
367,Karolina Loesche,22,female,2,rent,little,little,3650,18,furniture/equipment,good
368,Uli Bayerl,42,male,2,own,little,little,3446,36,furniture/equipment,bad
369,Gretel Kosterman,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good
370,Leon Seemann,36,male,2,own,NA,NA,3079,36,car,good
371,Wagner Imgrund,33,male,2,own,little,NA,6070,18,radio/TV,good
372,Otilie Kempkes,23,female,2,rent,little,NA,2146,10,furniture/equipment,good
373,Aurick Hoffman,63,male,3,free,NA,NA,13756,60,car,good
374,Della Kratt,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad
